Code	N°	English Name	Nom français	Alias	Age	Date	In langtags	Region	Lang	Notes	WSTech	NLCI	Microsoft	Other	Noto Sans	Noto Serif	WSTech
Hans	501	Han (Simplified variant)	idéogrammes han (variante simplifiée)		1.1	2004-05-29	y								Noto Sans CJK SC	Noto Serif CJK SC	
Hant	502	Han (Traditional variant)	idéogrammes han (variante traditionnelle)		1.1	2004-05-29	y								Noto Sans CJK TC	Noto Serif CJK TC	
Hatr	127	Hatran	hatrénien	Hatran	8.0	2015-07-07	y								NotoSansHatran		
Hebr	125	Hebrew	hébreu	Hebrew	1.1	2004-05-01	y				Ezra SIL				NotoSansHebrew	NotoSerifHebrew	
Hira	410	Hiragana	hiragana	Hiragana	1.1	2004-05-01									Noto Sans CJK JP	Noto Serif CJK JP	
Hluw	80	Anatolian Hieroglyphs (Luwian Hieroglyphs, Hittite Hieroglyphs)	hiéroglyphes anatoliens (hiéroglyphes louvites, hiéroglyphes hittites)	Anatolian_Hieroglyphs	8.0	2015-07-07	y								NotoSansAnatolianHieroglyphs		
Hmng	450	Pahawh Hmong	pahawh hmong	Pahawh_Hmong	7.0	2014-11-15	y								NotoSansPahawhHmong		
Hmnp	451	Nyiakeng Puachue Hmong	nyiakeng puachue hmong	Nyiakeng_Puachue_Hmong	12.0	2017-07-26											
Hrkt	412	Japanese syllabaries (alias for Hiragana + Katakana)	syllabaires japonais (alias pour hiragana + katakana)	Katakana_Or_Hiragana	1.1	2011-06-21									Noto Sans CJK JP	Noto Serif CJK JP	
Hung	176	Old Hungarian (Hungarian Runic)	runes hongroises (ancien hongrois)	Old_Hungarian	8.0	2015-07-07	y								NotoSansOldHungarian		
Inds	610	Indus (Harappan)	indus			2004-05-01											
Ital	210	Old Italic (Etruscan, Oscan, etc.)	ancien italique (étrusque, osque, etc.)	Old_Italic	3.1	2004-05-29	y								NotoSansOldItalic		
Jamo	284	Jamo (alias for Jamo subset of Hangul)	jamo (alias pour le sous-ensemble jamo du hangûl)		1.1	2016-01-19									Noto Sans CJK KR	Noto Serif CJK KR	
Java	361	Javanese	javanais	Javanese	5.2	2009-06-01	y								NotoSansJavanese		
Jpan	413	Japanese (alias for Han + Hiragana + Katakana)	japonais (alias pour han + hiragana + katakana)		1.1	2006-06-21	y								Noto Sans CJK JP	Noto Serif CJK JP	
Jurc	510	Jurchen	jurchen			2010-12-21	y										
Kali	357	Kayah Li	kayah li	Kayah_Li	5.1	2007-07-02	y				Kyebogyi			Kayahli	NotoSansKayah Li		
Kana	411	Katakana	katakana	Katakana	1.1	2004-05-01	y								Noto Sans CJK JP	Noto Serif CJK JP	
Khar	305	Kharoshthi	kharochthî	Kharoshthi	4.1	2006-06-21	y								NotoSansKharoshthi		
Khmr	355	Khmer	khmer	Khmer	3.0	2004-05-29	y				Khmer Mondulkiri				NotoSansKhmer	NotoSerifKhmer	
Khoj	322	Khojki	khojkî	Khojki	7.0	2014-11-15	y								NotoSansKhojki		
Kitl	505	Khitan large script	grande écriture khitan			2015-07-15	y										
Kits	288	Khitan small script	petite écriture khitan			2015-07-15	y										
Knda	345	Kannada	kannara (canara)	Kannada	1.1	2004-05-29	y					KNDA Badami			NotoSansKannada	NotoSerifKannada	
Kore	287	Korean (alias for Hangul + Han)	coréen (alias pour hangûl + han)		1.1	2007-06-13	y								Noto Sans CJK KR	Noto Serif CJK KR	
Kpel	436	Kpelle	kpèllé			2010-03-26	y										
Kthi	317	Kaithi	kaithî	Kaithi	5.2	2009-06-01	y								NotoSansKaithi		
Lana	351	Tai Tham (Lanna)	taï tham (lanna)	Tai_Tham	5.2	2009-06-01	y								NotoSansTaiTham		
Laoo	356	Lao	laotien	Lao	1.1	2004-05-01	y						DokChampa	Saysettha MX	NotoSansLao	NotoSerifLao	
Latf	217	Latin (Fraktur variant)	latin (variante brisée)		1.1	2004-05-01	y										
Latg	216	Latin (Gaelic variant)	latin (variante gaélique)		1.1	2004-05-01	y										
Latn	215	Latin	latin	Latin	1.1	2004-05-01	y				Charis SIL				NotoSansLatin	NotoSerifLatin	
Leke	364	Leke	léké			2015-07-07	y								NotoSansLeke		
Lepc	335	Lepcha (Róng)	lepcha (róng)	Lepcha	5.1	2007-07-02	y				Mingzat				NotoSansLepcha		
Limb	336	Limbu	limbou	Limbu	4.0	2004-05-29	y				Namdhinggo SIL				NotoSansLimbu		
Lina	400	Linear A	linéaire A	Linear_A	7.0	2014-11-15	y								NotoSansLinearA		
Linb	401	Linear B	linéaire B	Linear_B	4.0	2004-05-29	y								NotoSansLinearB		
Lisu	399	Lisu (Fraser)	lisu (Fraser)	Lisu	5.2	2009-06-01	y							LisuTzimu	NotoSansLisu		
Loma	437	Loma	loma			2010-03-26	y										
Lyci	202	Lycian	lycien	Lycian	5.1	2007-07-02	y								NotoSansLycian		
Lydi	116	Lydian	lydien	Lydian	5.1	2007-07-02	y								NotoSansLydian		
Mahj	314	Mahajani	mahâjanî	Mahajani	7.0	2014-11-15									NotoSansMahajani		
Maka	366	Makasar	makassar	Makasar	11.0	2016-12-05											
Mand	140	Mandaic, Mandaean	mandéen	Mandaic	6.0	2010-07-23	y								NotoSansMandaic		
Mani	139	Manichaean	manichéen	Manichaean	7.0	2014-11-15	y								NotoSansManichaean		
Marc	332	Marchen	marchen	Marchen	9.0	2016-12-05	y								NotoSansMarchen		
Maya	90	Mayan hieroglyphs	hiéroglyphes mayas			2004-05-01											
Medf	265	Medefaidrin (Oberi Okaime, Oberi Ɔkaimɛ)	médéfaïdrine	Medefaidrin	11.0	2016-12-05											
Mend	438	Mende Kikakui	mendé kikakui	Mende_Kikakui	7.0	2014-11-15	y								NotoSansMendeKikakui		
Merc	101	Meroitic Cursive	cursif méroïtique	Meroitic_Cursive	6.1	2012-02-06	y								NotoSansMeroitic Cursive		
Mero	100	Meroitic Hieroglyphs	hiéroglyphes méroïtiques	Meroitic_Hieroglyphs	6.1	2012-02-06									NotoSansMeroitic		
Mlym	347	Malayalam	malayâlam	Malayalam	1.1	2004-05-01	y								NotoSansMalayalam	NotoSerifMalayalam	
Modi	324	Modi, Moḍī	modî	Modi	7.0	2014-11-15	y								NotoSansModi		
Mong	145	Mongolian	mongol	Mongolian	3.0	2004-05-01	y								NotoSansMongolian		
Moon	218	Moon (Moon code, Moon script, Moon type)	écriture Moon			2006-12-11											
Mroo	264	Mro, Mru	mro	Mro	7.0	2016-12-05	y								NotoSansMro		
Mtei	337	Meitei Mayek (Meithei, Meetei)	meitei mayek	Meetei_Mayek	5.2	2009-06-01	y								NotoSansMeeteiMayek		
Mult	323	Multani	multanî	Multani	8.0	2015-07-07									NotoSansMultani		
Mymr	350	Myanmar (Burmese)	birman	Myanmar	3.0	2004-05-01	y				Padauk				NotoSansMyanmar	NotoSerifMyanmar	
Nand	311	Nandinagari	nandinâgarî	Nandinagari	12.0	2018-08-26	y								NotoSansNandinagari		
Narb	106	Old North Arabian (Ancient North Arabian)	nord-arabique	Old_North_Arabian	7.0	2014-11-15	y								NotoSansOldNorthArabian		
Nbat	159	Nabataean	nabatéen	Nabataean	7.0	2014-11-15	y								NotoSansNabataean		
Newa	333	Newa, Newar, Newari, Nepāla lipi	néwa, néwar, néwari, nepāla lipi	Newa	9.0	2016-12-05	y								NotoSansNewa		
Nkdb	85	Naxi Dongba (na²¹ɕi³³ to³³ba²¹, Nakhi Tomba)	naxi dongba			2017-07-26											
Nkgb	420	Naxi Geba (na²¹ɕi³³ gʌ²¹ba²¹, 'Na-'Khi ²Ggŏ-¹baw, Nakhi Geba)	naxi geba, nakhi geba			2017-07-26	y										
Nkoo	165	N’Ko	n’ko	Nko	5.0	2006-10-10	y						Ebrima		NotoSansNKo		
Nshu	499	Nüshu	nüshu	Nushu	10.0	2017-07-26	y										
Ogam	212	Ogham	ogam	Ogham	3.0	2004-05-01	y								NotoSansOgham		
Olck	261	Ol Chiki (Ol Cemet’, Ol, Santali)	ol tchiki	Ol_Chiki	5.1	2007-07-02	y								NotoSansOl Chiki		
Orkh	175	Old Turkic, Orkhon Runic	orkhon	Old_Turkic	5.2	2009-06-01	y								NotoSansOldTurkic		
Orya	327	Oriya (Odia)	oriyâ (odia)	Oriya	1.1	2016-12-05	y								NotoSansOriya		
Osge	219	Osage	osage	Osage	9.0	2016-12-05	y								NotoSansOsage		
Osma	260	Osmanya	osmanais	Osmanya	4.0	2004-05-01	y						Ebrima		NotoSansOsmanya		
Palm	126	Palmyrene	palmyrénien	Palmyrene	7.0	2014-11-15	y								NotoSansPalmyrene		
Pauc	263	Pau Cin Hau	paou chin haou	Pau_Cin_Hau	7.0	2014-11-15	y								NotoSansPauCinHau		
Perm	227	Old Permic	ancien permien	Old_Permic	7.0	2014-11-15	y								NotoSansOld Permic		
Phag	331	Phags-pa	’phags pa	Phags_Pa	5.0	2006-10-10	y								NotoSansPhagsPa		
Phli	131	Inscriptional Pahlavi	pehlevi des inscriptions	Inscriptional_Pahlavi	5.2	2009-06-01	y								NotoSansInscriptionalPahlavi		
Phlp	132	Psalter Pahlavi	pehlevi des psautiers	Psalter_Pahlavi	7.0	2014-11-15	y								NotoSansPsalterPahlavi		
Phlv	133	Book Pahlavi	pehlevi des livres			2007-07-15											
Phnx	115	Phoenician	phénicien	Phoenician	5.0	2006-10-10	y								NotoSansPhoenician		
Plrd	282	Miao (Pollard)	miao (Pollard)	Miao	6.1	2012-02-06	y				Shimenkan				NotoSansMiao		ShiShan
Piqd	293	Klingon (KLI pIqaD)	klingon (pIqaD du KLI)			2015-12-16											
Prti	130	Inscriptional Parthian	parthe des inscriptions	Inscriptional_Parthian	5.2	2009-06-01	y								NotoSansInscriptionalParthian		
Qaaa	900	Reserved for private use (start)	réservé à l’usage privé (début)			2004-05-29											
Qabx	949	Reserved for private use (end)	réservé à l’usage privé (fin)			2004-05-29											
Rjng	363	Rejang (Redjang, Kaganga)	redjang (kaganga)	Rejang	5.1	2009-02-23	y								NotoSansRejang		
Rohg	167	Hanifi Rohingya	hanifi rohingya	Hanifi_Rohingya	11.0	2017-11-21	y										
Roro	620	Rongorongo	rongorongo			2004-05-01											
Runr	211	Runic	runique	Runic	3.0	2004-05-01	y								NotoSansRunic		
Samr	123	Samaritan	samaritain	Samaritan	5.2	2009-06-01	y								NotoSansSamaritan		
Sara	292	Sarati	sarati			2004-05-29											
Sarb	105	Old South Arabian	sud-arabique, himyarite	Old_South_Arabian	5.2	2009-06-01	y								NotoSansOldSouthArabian		
Saur	344	Saurashtra	saurachtra	Saurashtra	5.1	2007-07-02	y								NotoSansSaurashtra		
Sgnw	95	SignWriting	SignÉcriture, SignWriting	SignWriting	8.0	2015-07-07	y										
Shaw	281	Shavian (Shaw)	shavien (Shaw)	Shavian	4.0	2004-05-01	y										
Shrd	319	Sharada, Śāradā	charada, shard	Sharada	6.1	2012-02-06	y										
Shui	530	Shuishu	shuishu			2017-07-26									NotoSansShuishu		
Sidd	302	Siddham, Siddhaṃ, Siddhamātṛkā	siddham	Siddham	7.0	2014-11-15									NotoSansSiddham		
Sind	318	Khudawadi, Sindhi	khoudawadî, sindhî	Khudawadi	7.0	2014-11-15	y								NotoSansKhudawadi		
Sinh	348	Sinhala	singhalais	Sinhala	3.0	2004-05-01	y								NotoSansSinhala	NotoSerifSinhala	
Sogd	141	Sogdian	sogdien	Sogdian	11.0	2017-11-21	y										
Sogo	142	Old Sogdian	ancien sogdien	Old_Sogdian	11.0	2017-11-21	y										
Sora	398	Sora Sompeng	sora sompeng	Sora_Sompeng	6.1	2012-02-06	y								NotoSansSora Sompeng		
Soyo	329	Soyombo	soyombo	Soyombo	10.0	2017-07-26	y										
Sund	362	Sundanese	sundanais	Sundanese	5.1	2007-07-02	y										
Sylo	316	Syloti Nagri	sylotî nâgrî	Syloti_Nagri	4.1	2006-06-21	y				Surma				NotoSansSylotiNagri		
Syrc	135	Syriac	syriaque	Syriac	3.0	2004-05-01	y								NotoSansSyriac		
Syre	138	Syriac (Estrangelo variant)	syriaque (variante estranghélo)		3.0	2004-05-01											
Syrj	137	Syriac (Western variant)	syriaque (variante occidentale)		3.0	2004-05-01	y								NotoSansSyriac		
Syrn	136	Syriac (Eastern variant)	syriaque (variante orientale)		3.0	2004-05-01											
Tagb	373	Tagbanwa	tagbanoua	Tagbanwa	3.2	2004-05-01	y								NotoSansTagbanwa		
Takr	321	Takri, Ṭākrī, Ṭāṅkrī	tâkrî	Takri	6.1	2012-02-06	y								NotoSansTakri		
Tale	353	Tai Le	taï-le	Tai_Le	4.0	2004-10-25	y								NotoSansTaiLe		
Talu	354	New Tai Lue	nouveau taï-lue	New_Tai_Lue	4.1	2006-06-21	y				Nokyung				NotoSansNewTaiLue		Dai Banna SIL
Taml	346	Tamil	tamoul	Tamil	1.1	2004-05-01	y					TAML ThiruValluvar			NotoSansTamil	NotoSerifTamil	
Tang	520	Tangut	tangoute	Tangut	9.0	2016-12-05	y								NotoSansTangut		
Tavt	359	Tai Viet	taï viêt	Tai_Viet	5.2	2009-06-01	y				Tai Heritage Pro				NotoSansTaiViet		
Telu	340	Telugu	télougou	Telugu	1.1	2004-05-01	y								NotoSansTelugu	NotoSerifTelugu	
Teng	290	Tengwar	tengwar			2004-05-01											
Tfng	120	Tifinagh (Berber)	tifinagh (berbère)	Tifinagh	4.1	2006-06-21	y	MA					Ebrima		NotoSansTifinagh		
Tglg	370	Tagalog (Baybayin, Alibata)	tagal (baybayin, alibata)	Tagalog	3.2	2009-02-23	y								NotoSansTagalog		
Thaa	170	Thaana	thâna	Thaana	3.0	2004-05-01	y								NotoSansThaana		
Thai	352	Thai	thaï	Thai	1.1	2004-05-01	y								NotoSansThai	NotoSerifThai	
Tibt	330	Tibetan	tibétain	Tibetan	2.0	2004-05-01	y								NotoSansTibetan	NotoSerifTibetan	
Tirh	326	Tirhuta	tirhouta	Tirhuta	7.0	2014-11-15	y								NotoSansTirhuta		
Ugar	40	Ugaritic	ougaritique	Ugaritic	4.0	2004-05-01	y								NotoSansUgaritic		
Vaii	470	Vai	vaï	Vai	5.1	2007-07-02	y						Ebrima		NotoSansVai		
Visp	280	Visible Speech	parole visible			2004-05-01											
Wara	262	Warang Citi (Varang Kshiti)	warang citi	Warang_Citi	7.0	2014-11-15	y								NotoSansWarangCiti		
Wcho	283	Wancho	wantcho	Wancho	12.0	2017-07-26											
Wole	480	Woleai	woléaï			2010-12-21	y										
Xpeo	30	Old Persian	cunéiforme persépolitain	Old_Persian	4.1	2006-06-21	y								NotoSansOldPersian		
Xsux	20	Cuneiform, Sumero-Akkadian	cunéiforme suméro-akkadien	Cuneiform	5.0	2006-10-10	y								NotoSansCuneiform		
Yiii	460	Yi	yi	Yi	3.0	2004-05-01	y				Nuosu SIL				NotoSansYi		
Zanb	339	Zanabazar Square (Zanabazarin Dörböljin Useg, Xewtee Dörböljin Bicig, Horizontal Square Script)	zanabazar quadratique	Zanabazar_Square	10.0	2017-07-26											
Zinh	994	Code for inherited script	codet pour écriture héritée	Inherited		2009-02-23											
Zmth	995	Mathematical notation	notation mathématique		3.2	2007-11-26											
Zsye	993	Symbols (Emoji variant)	symboles (variante émoji)		6.0	2015-12-16											
Zsym	996	Symbols	symboles		1.1	2007-11-26											
Zxxx	997	Code for unwritten documents	codet pour les documents non écrits			2011-06-21	y										
Zyyy	998	Code for undetermined script	codet pour écriture indéterminée	Common		2004-05-29	y										
Zzzz	999	Code for uncoded script	codet pour écriture non codée	Unknown		2006-10-10											
